Time,Personal income (thousands of dollars),Population,Per capita income
2002,67107084,2315747,28979
2003,69240316,2336070,29640
2004,74881769,2358684,31747
2005,81381738,2385872,34110
2006,89240479,2405911,37092
2007,92614163,2415576,38340
2008,93033991,2436062,38190
2009,85787430,2463943,34817
2010,95805838,2507065,38214
2011,100148724,2569856,38971
2012,103220841,2602184,39667
2013,103504316,2635640,39271
2014,111907652,2660389,42064
2015,119434694,2688156,44430
2016,119576094,2722574,43920
2017,131241442,2744878,47813
2018,138138976,2761581,50022
